pali	burmese	es	en	status_es	status_en	decided_by	date	note
kusala	ကုသိုလ်	sano		confirmed	open	IEBH	2026-09-26	adjective agrees with its noun (mente sana, estados sanos); as a noun, lo sano; where ကုသိုလ် means merit (ကုသိုလ်ဖြစ်, ကုသိုလ်ရ, a work of merit), mérito / meritorio (the editor, 2026-09-26: 'kusala can be translated as sano and also mérito')
akusala	အကုသိုလ်	insano		confirmed	open	IEBH	2026-09-26	adjective agrees with its noun (mente insana, estados insanos); as a noun, lo insano; 'y' before it becomes 'e'
